Target,DE_R1_mock,DE_R25_mock,DE_R1_R25,R1_LFC,R25_LFC,abs_R1_FC,abs_R25_FC,mean_fc
Glyma.09G186200,yes,yes,no,0.83709267,1.153727663,0.83709267,1.153727663,0.995410166
Glyma.09G186400,no,yes,no,0.302478666,1.491009097,0.302478666,1.491009097,0.896743882
Glyma.09G187300,yes,no,no,-3.433581547,-2.273903597,3.433581547,2.273903597,2.853742572
Glyma.09G187800,yes,yes,no,-1.574226841,-1.360595713,1.574226841,1.360595713,1.467411277
Glyma.09G188500,yes,no,no,1.095244137,0.713194775,1.095244137,0.713194775,0.904219456
Glyma.09G189300,no,yes,no,0.727876805,1.053371787,0.727876805,1.053371787,0.890624296
Glyma.09G190000,no,yes,no,-1.412910661,-1.324564667,1.412910661,1.324564667,1.368737664
Glyma.09G191300,no,yes,no,0.179792918,0.697681374,0.179792918,0.697681374,0.438737146
Glyma.09G193000,no,yes,no,-0.750855618,-1.112805153,0.750855618,1.112805153,0.931830386
Glyma.09G194100,yes,yes,no,4.712626552,5.913792857,4.712626552,5.913792857,5.313209705
Glyma.09G194900,no,yes,no,-0.447581986,-0.815943776,0.447581986,0.815943776,0.631762881
Glyma.09G196000,no,yes,no,0.467650775,0.693855041,0.467650775,0.693855041,0.580752908
Glyma.09G196400,yes,yes,no,2.306974861,3.230253106,2.306974861,3.230253106,2.768613984
Glyma.09G198200,yes,yes,no,-0.715089134,-1.015695613,0.715089134,1.015695613,0.865392373
Glyma.09G198700,no,yes,no,0.905090603,1.377832003,0.905090603,1.377832003,1.141461303
Glyma.09G199600,no,yes,no,-0.313993519,-0.66272502,0.313993519,0.66272502,0.488359269
Glyma.09G202000,no,yes,no,-1.663309983,-2.773101663,1.663309983,2.773101663,2.218205823
Glyma.09G202700,yes,yes,no,1.61417632,2.423700672,1.61417632,2.423700672,2.018938496
Glyma.09G203300,no,yes,no,-0.307983541,-0.639103685,0.307983541,0.639103685,0.473543613
Glyma.09G203400,no,yes,no,-0.152822836,-1.024565008,0.152822836,1.024565008,0.588693922
Glyma.09G204500,yes,yes,no,0.972668742,1.040092787,0.972668742,1.040092787,1.006380764
Glyma.09G204800,no,yes,no,-0.572235776,-1.431248154,0.572235776,1.431248154,1.001741965
Glyma.09G205400,no,yes,no,1.616075536,2.009137538,1.616075536,2.009137538,1.812606537
Glyma.09G205500,no,yes,no,-1.081188353,-1.331793357,1.081188353,1.331793357,1.206490855
