Target,Treatment,FC
Glyma.02G010900,R1_FC,1.702432116
Glyma.02G011600,R1_FC,1.320008029
Glyma.02G011800,R1_FC,-0.679206101
Glyma.02G011900,R1_FC,2.443708549
Glyma.02G012400,R1_FC,0.206167733
Glyma.02G012700,R1_FC,0.668601599
Glyma.02G013200,R1_FC,-0.147074974
Glyma.02G013402,R1_FC,-1.611054398
Glyma.02G013700,R1_FC,-0.496490719
Glyma.02G014000,R1_FC,0.127959197
Glyma.02G014800,R1_FC,-0.642652867
Glyma.02G015900,R1_FC,0.229811871
Glyma.02G016100,R1_FC,3.301966524
Glyma.02G016400,R1_FC,-0.794410299
Glyma.02G017100,R1_FC,1.875939242
Glyma.02G017500,R1_FC,0.394763771
Glyma.02G019200,R1_FC,-0.723308698
Glyma.02G019400,R1_FC,0.414108565
Glyma.02G019600,R1_FC,-1.180498986
Glyma.02G021600,R1_FC,-0.800976122
Glyma.02G022200,R1_FC,3.404979339
Glyma.02G022400,R1_FC,-0.172496862
Glyma.02G023800,R1_FC,2.418969047
Glyma.02G023900,R1_FC,3.921235692
Glyma.02G024200,R1_FC,4.182137048
Glyma.02G024500,R1_FC,0.491085383
Glyma.02G024600,R1_FC,4.736945766
Glyma.02G024800,R1_FC,5.515597132
Glyma.02G026300,R1_FC,-0.506309692
Glyma.02G026500,R1_FC,0.431070904
Glyma.02G027800,R1_FC,4.342539545
Glyma.02G028400,R1_FC,2.924866463
Glyma.02G028600,R1_FC,3.788845998
Glyma.02G028700,R1_FC,1.820759945
Glyma.02G028800,R1_FC,2.721266842
Glyma.02G029400,R1_FC,2.881270491
Glyma.02G031100,R1_FC,-1.703897583
Glyma.02G032200,R1_FC,-1.076669572
Glyma.02G034000,R1_FC,1.263381647
Glyma.02G035000,R1_FC,0.259633435
Glyma.02G035200,R1_FC,1.274431944
Glyma.02G036000,R1_FC,0.351819533
Glyma.02G036100,R1_FC,0.357279875
Glyma.02G036500,R1_FC,-0.417984643
Glyma.02G038100,R1_FC,-0.876589857
Glyma.02G039400,R1_FC,-0.723159734
Glyma.02G041900,R1_FC,0.572570571
Glyma.02G042500,R1_FC,3.767768317
Glyma.02G044500,R1_FC,-1.3881816
Glyma.02G047000,R1_FC,-1.232838083
Glyma.02G047600,R1_FC,-1.323096505
Glyma.02G048400,R1_FC,-1.339416381
Glyma.02G048800,R1_FC,-0.431804966
Glyma.02G049600,R1_FC,0.716692513
Glyma.02G049700,R1_FC,1.068298929
Glyma.02G049800,R1_FC,0.976091027
Glyma.02G052300,R1_FC,4.573987687
Glyma.02G053600,R1_FC,1.698402846
Glyma.02G054900,R1_FC,3.169551796
Glyma.02G055000,R1_FC,4.028909474
Glyma.02G055500,R1_FC,0.964825869
Glyma.02G056700,R1_FC,-1.122861252
Glyma.02G057400,R1_FC,-0.89045465
Glyma.02G057900,R1_FC,0.534487517
Glyma.02G058000,R1_FC,-0.328917947
Glyma.02G058200,R1_FC,0.662330982
Glyma.02G059500,R1_FC,4.07555116
Glyma.02G060102,R1_FC,-0.616131021
Glyma.02G061100,R1_FC,-0.397934911
Glyma.02G063900,R1_FC,2.435242756
Glyma.02G064800,R1_FC,-0.555910758
Glyma.02G066200,R1_FC,1.252736948
Glyma.02G067100,R1_FC,-0.262471011
Glyma.02G069400,R1_FC,-0.609630964
Glyma.02G070000,R1_FC,2.386332453
Glyma.02G070600,R1_FC,0.844708777
Glyma.02G071500,R1_FC,-0.369443588
Glyma.02G072000,R1_FC,1.428443392
Glyma.02G072200,R1_FC,1.234301279
Glyma.02G072500,R1_FC,-0.329326218
Glyma.02G075100,R1_FC,0.613121979
Glyma.02G080000,R1_FC,-0.943950279
Glyma.02G080200,R1_FC,4.768570949
Glyma.02G081200,R1_FC,-0.514863992
Glyma.02G081400,R1_FC,-0.52772656
Glyma.02G083600,R1_FC,5.351109072
Glyma.02G083702,R1_FC,4.35684786
Glyma.02G087000,R1_FC,-0.239672692
Glyma.02G087800,R1_FC,-0.968583848
Glyma.02G088700,R1_FC,4.277128223
Glyma.02G089400,R1_FC,5.749767472
Glyma.02G089500,R1_FC,3.268889279
Glyma.02G091500,R1_FC,0.645168631
Glyma.02G092500,R1_FC,4.008409071
Glyma.02G093100,R1_FC,-0.976831701
Glyma.02G094500,R1_FC,3.016280119
Glyma.02G095200,R1_FC,0.482805956
Glyma.02G095500,R1_FC,1.065569723
Glyma.02G096800,R1_FC,0.628317747
Glyma.02G097000,R1_FC,-0.13635316
Glyma.02G097700,R1_FC,-0.675278932
Glyma.02G099500,R1_FC,1.33947666
Glyma.02G100000,R1_FC,-1.17079838
Glyma.02G100300,R1_FC,4.287431375
Glyma.02G102900,R1_FC,0.69341227
Glyma.02G103700,R1_FC,-0.783713162
Glyma.02G104300,R1_FC,4.286897631
Glyma.02G104500,R1_FC,4.097806004
Glyma.02G105300,R1_FC,-0.390903683
Glyma.02G106100,R1_FC,0.412509115
Glyma.02G106300,R1_FC,-0.614638419
Glyma.02G107500,R1_FC,0.407847645
Glyma.02G107700,R1_FC,0.537558445
Glyma.02G110300,R1_FC,-0.775266585
Glyma.02G111800,R1_FC,-0.16892688
Glyma.02G114000,R1_FC,0.969803893
Glyma.02G116100,R1_FC,-0.545327051
Glyma.02G116300,R1_FC,-0.804981575
Glyma.02G121800,R1_FC,-0.998481059
Glyma.02G124600,R1_FC,2.146830663
Glyma.02G124700,R1_FC,3.371730301
Glyma.02G125400,R1_FC,-0.558920736
Glyma.02G125900,R1_FC,1.679400157
Glyma.02G126500,R1_FC,-0.932367217
Glyma.02G128800,R1_FC,2.517223072
