"","X","geneId","M1","M2","M3","M6","R1_1","R1_2","R1_4","R1_6","R25_1","R25_2","R25_4","R25_5","R25_6","DE_R1_mock","DE_R25_mock","DE_R1_R25","meanM","meanR1","meanR25","R1_LFC","R25_LFC","linetaldf"
"12",12,"Glyma.01G007700",284.647178842797,225.94799836328,252.595752571617,331.881974820581,401.875227482163,535.483817428785,323.096337618149,369.204247474668,491.192152467107,391.643704687325,365.626812229856,417.918977346559,657.191837682288,"no","yes","no",273.768226149569,407.414907500941,464.714696882627,0.573543754660983,0.763390256179976,"yes"
"13",13,"Glyma.01G008900",578.714049969616,638.952523358263,389.564868836474,597.519616577949,558.118356233563,483.436704121113,474.324496133987,358.310630685476,252.405480176199,380.98978546858,395.45116890301,285.460343918746,376.55633477414,"no","yes","no",551.187764685576,468.547546793535,338.172622648135,-0.234348407666699,-0.704783994733147,"yes"
"14",14,"Glyma.01G009700",629.654767802608,837.806553911403,1209.43674208143,711.231168488121,597.402342891057,780.705793589931,681.526713321272,361.578715722234,287.349871243161,404.961103710757,485.886314944188,674.150432174132,409.572276292746,"no","yes","no",847.032308070892,605.303391381124,452.383999672997,-0.484758564670635,-0.904869095157552,"yes"
"15",15,"Glyma.01G010200",4134.14460599505,3031.49943395011,1733.99931501067,3228.73036282725,1796.45675382323,972.879750418258,1052.7231024056,1445.49358624677,1077.48138036836,1376.2434058197,917.85844869407,1823.93479938769,838.77951603462,"yes","yes","no",3032.09342944577,1316.88829822347,1206.85951006089,-1.2031812309308,-1.32905646626748,"yes"
"16",16,"Glyma.01G010300",1789.71384209029,1574.73619654951,1789.36980881987,1466.20130821959,1042.02564642361,1506.3626618219,1137.17519092743,1279.91061105106,1202.69878169164,792.053501991834,1105.46327292843,942.324878540278,1446.47918961146,"no","yes","no",1655.00528891982,1241.368527556,1097.80392495273,-0.414904352661539,-0.592215425009119,"yes"
"17",17,"Glyma.01G010400",244.126153293826,261.039886107952,285.623766422717,326.289603415163,480.443200797152,692.626063376948,584.308611418233,459.621266824956,593.11329307908,428.932421952934,432.972133749882,446.147866437732,583.937717437882,"yes","yes","no",279.269852309915,554.249785604322,497.020686531502,0.98887646656569,0.831646059083069,"yes"
"18",18,"Glyma.01G010500",14.8929230453615,5.49895996726561,18.4854190976413,27.0977332252853,63.4972515005599,42.037147031049,30.4600308797088,14.0723401470296,60.211329307908,108.427018789014,64.4970174331675,91.1152997910531,147.508240488813,"no","yes","no",16.4937588338884,37.5166923895868,94.3517811619912,1.18561242188264,2.51612953486814,"yes"
"19",19,"Glyma.01G015000",826.471177611896,784.718826297669,1042.35384848175,836.127463209129,1202.73286456791,946.856193764422,1012.46106020333,1213.459548637,1099.80696355003,1319.42250331972,1182.4293546656,1030.26872532432,1488.78086468217,"no","yes","no",872.417828900111,1093.87741679317,1224.14168230837,0.326359915836854,0.488679386806712,"yes"
"20",20,"Glyma.01G015400",554.401434640233,423.902236922967,595.504249319805,598.451678478852,418.838767175172,445.402275165506,393.80041172945,496.659563908206,339.766457843605,399.634144101384,356.968128034424,388.604361751879,251.714805906912,"no","yes","no",543.064899840464,438.675254494584,347.337579527641,-0.307971293143592,-0.644786111107934,"no"
"21",21,"Glyma.01G017700",923.721638929426,1059.15538430087,1270.63570892318,834.263339407323,1392.01025482675,1769.6009464357,2313.61242405714,2752.72760094974,3199.38246015667,1906.27588695227,2857.40370847082,1896.67847512264,1678.62252841415,"yes","yes","no",1021.9440178902,2056.98780656733,2307.67261182331,1.00921707428378,1.17512239660831,"yes"
"22",22,"Glyma.01G018400",842.679587831484,876.497609629888,792.700920254316,803.505296677522,1163.44887791041,1019.92233360019,1044.86709417101,1002.12338292669,940.615848689425,1038.8692972261,1121.81856529758,1024.84009280678,1054.41488407801,"no","yes","no",828.845853598302,1057.59042215208,1036.11173761958,0.35160529310234,0.32200387283694,"no"
"23",23,"Glyma.01G019100",782.476921301584,727.132138716669,517.791275552511,761.562511136885,645.614508334346,459.414959517572,486.108508485871,724.336154802306,482.456054700366,548.789013163818,480.1138588139,429.861968885132,381.715075636422,"no","yes","no",697.240711676912,578.868532785024,464.587194239928,-0.26842107646415,-0.585707421830093,"no"
"24",24,"Glyma.01G019300",366.846973527853,269.13801404903,191.396785729872,288.075065478138,242.060827216445,216.19479540672,160.084166750427,240.65956936221,77.683524841389,165.247921288989,156.856315517775,85.6866672735198,158.857470385834,"no","yes","no",278.864209696223,214.749839683951,128.866379861501,-0.376905731902309,-1.11368686029124,"yes"
"25",25,"Glyma.01G019400",6705.49311297404,5367.35944895442,3977.96143254131,6925.28786180872,6029.30631616829,4076.68933440077,3104.12325266266,4693.97011278363,2902.35513608749,3900.33443406076,4262.99677619594,3657.72686381044,2768.14859852814,"no","yes","no",5744.02546406962,4476.02225400384,3498.31236173655,-0.359844935683521,-0.715403032654879,"yes"
"26",26,"Glyma.01G019700",968.873638826851,681.24274705056,533.33387030597,1482.97842243584,941.137226144137,403.36422210931,383.980401436214,535.876584349295,542.638061537912,495.519417070091,382.94418062072,283.288890911733,571.556739368405,"no","yes","no",916.607169654806,566.089608509739,455.189457901772,-0.695273129541884,-1.00983642494553,"yes"
"27",27,"Glyma.01G020900",21532.7152331361,20514.4578667443,13724.1397551322,16086.5242857848,10394.2929245431,7123.44727494987,8247.8446442598,12500.3359039182,9040.91983351716,8193.86387921509,7731.28083447728,9530.42152127799,6962.20491956352,"yes","yes","no",17964.4592851993,9566.48018691774,8291.73819761021,-0.909085398164916,-1.11539904132001,"yes"
"28",28,"Glyma.01G022700",449.046768212908,354.618253427077,527.505397273422,382.213317469346,333.128250831547,265.23919063895,367.286383937712,245.017016077886,199.018216046118,238.937529218644,237.670701341806,261.574360841599,206.317886318829,"no","yes","no",428.345934095688,302.667710371524,228.703738753399,-0.50104162261596,-0.905296443820563,"yes"
"29",29,"Glyma.01G023300",1658.88881674647,1749.29584327942,1772.85580189432,1837.161944779,1109.87980519565,1643.48678726711,1675.31175499678,1236.3361438943,1197.84539404345,1370.02861960876,1083.33552442899,1107.35530707329,1295.84395643282,"no","yes","no",1754.5506016748,1416.25362283846,1210.88176031746,-0.309021909495842,-0.535043559803347,"yes"
"30",30,"Glyma.01G024000",2395.21373815063,2178.49662415655,1742.7420245595,2886.66364519583,3770.47708336234,3396.07323730044,2764.35089651668,3892.19991709915,4370.99023842954,5471.78751882568,3856.03861901064,4716.31020472944,4152.75464596467,"yes","yes","no",2300.77900801563,3455.77528356965,4513.57624539199,0.58688698936518,0.972148560258918,"no"
"31",31,"Glyma.01G024700",65.8336408783537,61.2860635613592,63.1703790138359,55.0595902523766,84.9248805864661,141.126843520655,157.138163662456,84.8808492767734,78.6542023710268,160.808788281179,98.1696781931805,113.915556364693,154.730477696008,"no","yes","no",61.3374184264813,117.017684261588,121.255740581217,0.931887220383393,0.983213697332759,"no"
