geneId,Family,Family_Binding
Glyma.01G147900,bHLH,No
Glyma.01G149000,bHLH,No
Glyma.01G153000,bHLH,No
Glyma.01G153300,bHLH,No
Glyma.01G154400,bHLH,No
Glyma.01G154450,bHLH,Yes
Glyma.01G154900,bHLH,No
Glyma.01G155400,bHLH,No
Glyma.01G156500,bHLH,No
Glyma.01G158600,bHLH,No
Glyma.01G161100,bHLH,No
Glyma.01G162800,bHLH,No
Glyma.01G163000,bHLH,Yes
Glyma.01G163600,bHLH,No
Glyma.01G164000,bHLH,No
Glyma.01G164300,bHLH,No
Glyma.01G164700,bHLH,No
Glyma.01G165200,bHLH,No
Glyma.01G165400,bHLH,No
Glyma.01G168200,bHLH,No
Glyma.01G169000,bHLH,No
Glyma.01G169100,bHLH,No
Glyma.01G169500,bHLH,No
Glyma.01G170600,bHLH,No
Glyma.01G171900,bHLH,No
Glyma.01G172100,bHLH,Yes
Glyma.01G172600,bHLH,No
Glyma.01G172700,bHLH,No
Glyma.01G172900,bHLH,No
Glyma.01G173300,bHLH,Yes
Glyma.01G173700,bHLH,Yes
Glyma.01G174102,bHLH,Yes
Glyma.01G176400,bHLH,Yes
Glyma.01G176600,bHLH,No
Glyma.01G176800,bHLH,No
Glyma.01G177700,bHLH,No
Glyma.01G179600,bHLH,No
Glyma.01G180100,bHLH,No
Glyma.01G180432,bHLH,Yes
Glyma.01G180800,bHLH,No
Glyma.01G181800,bHLH,No
Glyma.01G182400,bHLH,Yes
Glyma.01G183300,bHLH,No
Glyma.01G185800,bHLH,No
Glyma.01G187700,bHLH,No
Glyma.01G187800,bHLH,No
Glyma.01G188700,bHLH,No
Glyma.01G189100,bHLH,Yes
Glyma.01G190500,bHLH,No
Glyma.01G190900,bHLH,No
Glyma.01G191300,bHLH,No
Glyma.01G191600,bHLH,No
Glyma.01G193600,bHLH,Yes
Glyma.01G194700,bHLH,No
Glyma.01G195000,bHLH,No
Glyma.01G195300,bHLH,No
Glyma.01G196600,bHLH,No
Glyma.01G197500,bHLH,No
Glyma.01G197800,bHLH,Yes
Glyma.01G198300,bHLH,Yes
Glyma.01G199700,bHLH,No
Glyma.01G201000,bHLH,No
Glyma.01G202000,bHLH,No
Glyma.01G202100,bHLH,No
Glyma.01G202200,bHLH,No
Glyma.01G203500,bHLH,Yes
Glyma.01G204400,bHLH,No
Glyma.01G205200,bHLH,No
Glyma.01G205400,bHLH,No
Glyma.01G206700,bHLH,No
Glyma.01G210400,bHLH,No
Glyma.01G210700,bHLH,Yes
Glyma.01G210800,bHLH,No
Glyma.01G211800,bHLH,No
Glyma.01G211900,bHLH,No
Glyma.01G212100,bHLH,Yes
Glyma.01G215100,bHLH,Yes
Glyma.01G215400,bHLH,No
Glyma.01G217200,bHLH,No
Glyma.01G217300,bHLH,Yes
Glyma.01G217400,bHLH,Yes
Glyma.01G217600,bHLH,No
Glyma.01G217700,bHLH,No
Glyma.01G217900,bHLH,No
Glyma.01G218600,bHLH,No
Glyma.01G219400,bHLH,No
Glyma.01G219502,bHLH,No
Glyma.01G220600,bHLH,No
Glyma.01G221200,bHLH,Yes
Glyma.01G221400,bHLH,No
Glyma.01G221800,bHLH,No
Glyma.01G224800,bHLH,No
Glyma.01G226502,bHLH,No
Glyma.01G226900,bHLH,No
Glyma.01G227400,bHLH,No
Glyma.01G228200,bHLH,Yes
Glyma.01G228600,bHLH,No
Glyma.01G228700,bHLH,No
Glyma.01G229200,bHLH,No
Glyma.01G229800,bHLH,Yes
Glyma.01G230900,bHLH,No
Glyma.01G231900,bHLH,No
Glyma.01G235600,bHLH,No
Glyma.01G236100,bHLH,No
Glyma.01G236200,bHLH,No
Glyma.01G236500,bHLH,No
Glyma.01G237000,bHLH,No
Glyma.01G238000,bHLH,No
Glyma.01G238600,bHLH,No
Glyma.01G238800,bHLH,No
Glyma.01G239500,bHLH,No
Glyma.01G239600,bHLH,No
Glyma.01G240300,bHLH,No
Glyma.01G241500,bHLH,No
Glyma.01G241700,bHLH,No
Glyma.01G242200,bHLH,No
Glyma.01G242902,bHLH,No
Glyma.01G244000,bHLH,No
Glyma.01G244500,bHLH,No
