TF,TF1_TF2_count,TF1_count,TF2_count,cosine,zscore,helper
ERF109,710,1068,2077,0.476710233,25.43712452,0
ERF013,697,1260,1697,0.476657669,28.60687784,0
ERF054,538,689,1872,0.473717842,33.99673579,0
MYB3R1,93,202,192,0.472233345,33.93955589,0
MYB17,295,551,711,0.471315168,32.2541599,0
ERF054,554,689,2006,0.471231908,27.28016224,0
ERF003,729,2245,1068,0.470797046,22.7491533,0
ERF054,584,689,2240,0.470088067,30.58086587,0
MYB116,101,169,274,0.469356396,33.46980752,0
ERF109,586,1068,1460,0.469283799,26.57969463,0
MYB1,135,276,303,0.466829093,31.62058695,0
ERF013,742,1260,2006,0.466716514,32.7201767,0
ERF013,632,1260,1460,0.465967233,24.52562569,0
MYB3,108,256,210,0.465794253,33.4602688,0
ERF091,623,2006,895,0.464955152,23.32258517,0
ERF019,231,321,773,0.463734831,35.50914445,0
ERF115,634,895,2103,0.462123553,24.73827494,0
ERF003,601,2245,754,0.461934742,21.83385932,0
ERF013,708,1260,1872,0.460993777,24.51761842,0
ERF10,595,1872,895,0.459676737,30.69993655,0
ERF15,564,718,2103,0.458983682,31.28311281,0
ERF054,551,689,2103,0.457743674,29.63841433,0
ERF003,648,2245,895,0.457146412,27.0432052,0
MYB105,113,303,202,0.456753038,34.21356867,0
ERF054,413,689,1189,0.456298996,27.11337762,0
MYB1,105,276,192,0.456125281,28.6089155,0
ATMYB31,336,718,757,0.455752559,31.88577104,0
ERF104,645,2240,895,0.455537556,21.87221541,0
ERF054,454,689,1460,0.452657597,23.50040185,0
MYB13,202,686,291,0.452108651,30.22902965,0
MYB105,109,303,192,0.451912724,33.81321241,0
MYB13,314,686,704,0.451836448,34.82393576,0
ERF11,556,1697,895,0.451151445,22.58389253,0
MYB13,278,686,554,0.450949444,26.8886534,0
MYB24,108,274,210,0.450234558,33.32376375,0
ERF013,755,1260,2240,0.449404762,24.37616418,0
ERF069,463,1189,895,0.448826557,27.78808599,0
MYB17,295,551,793,0.446282259,28.09030972,0
MYB4,184,215,793,0.445617255,33.14907712,0
ERF115,504,895,1432,0.445192162,30.1287384,0
ERF013,283,1260,321,0.444988356,25.54116012,0
ERF054,530,689,2077,0.443045174,30.98260496,0
ERF091,434,2006,479,0.442747898,27.36523709,0
ERF115,506,895,1460,0.442652143,31.69383942,0
WRKY28,55,118,133,0.439031686,31.61219438,0
MYB59,91,205,210,0.43858605,28.12841136,0
MYB61,176,291,554,0.438340189,27.07518413,0
ERF073,407,808,1068,0.438130112,24.83570681,0
ERF073,372,808,895,0.437447302,24.59491832,0
MYB105,123,303,261,0.437384656,29.32432432,0
ERF054,357,689,971,0.436464565,24.13582369,0
WRKY50,120,280,270,0.43643578,30.27956625,0
ERF003,541,2245,689,0.434990209,27.10536565,0
ERF054,348,689,940,0.432419934,26.54905039,0
ERF105,361,479,1460,0.431681083,23.18458001,0
ERF118,358,1432,481,0.431359115,23.97290429,0
MYB105,121,303,264,0.427820994,35.35898083,0
MYB17,266,551,704,0.427090103,28.64205381,0
WRKY45,142,395,280,0.426983193,27.26266697,0
MYB24,101,274,205,0.426156544,35.15723247,0
MYB51,267,711,554,0.4254236,28.3689326,0
ERF038,119,481,163,0.424991869,28.0532873,0
MYB3R5,99,261,208,0.424896617,26.93856199,0
MYB58,280,793,554,0.42244148,24.72443852,0
ERF115,387,895,940,0.421925254,24.45966179,0
MYB51,316,711,793,0.420838718,26.91681173,0
NAC018,116,297,256,0.420687669,29.04369448,0
ERF008,318,455,1260,0.419987291,25.26539094,0
WRKY43,69,204,133,0.418897903,27.80956042,0
ERF054,294,689,718,0.417999245,27.97959841,0
MYB3R4,90,242,192,0.417526661,28.47087904,0
ERF019,164,321,481,0.417367659,30.99276616,0
ERF054,300,689,754,0.4162229,26.35546564,0
WRKY18,39,113,78,0.415411088,36.66323328,0
ERF104,430,2240,479,0.415122898,28.34495245,0
ERF013,459,1260,971,0.414971048,22.9987539,0
ERF054,448,689,1697,0.414311971,27.06234448,0
MYB105,112,303,242,0.413608091,27.79966744,0
ERF073,257,808,481,0.412244533,28.35943063,0
ERF115,330,895,718,0.411661451,25.41520052,0
MYB3R5,92,261,192,0.410976472,25.00880029,0
ERF008,157,455,321,0.410810408,28.83651985,0
ERF011,114,241,321,0.409867812,26.75646258,0
ERF096,336,754,895,0.409017685,26.49733206,0
ERF10,387,1872,479,0.408686494,26.29467612,0
NAC025,109,298,239,0.408431675,31.21945486,0
MYB121,86,162,274,0.408193103,27.29907124,0
ERF054,349,689,1068,0.40684613,23.9772803,0
MYB59,116,205,397,0.406617256,26.22861514,0
ERF013,495,1260,1189,0.404416624,21.35299123,0
ERF013,440,1260,940,0.404299754,20.95426275,0
MYB58,301,793,704,0.40285019,22.92771094,0
MYB40,77,159,230,0.402650502,21.8332052,0
MYB1,108,276,261,0.402391651,23.44694621,0
NAC007,90,112,447,0.402234888,25.5314909,0
MYB121,73,162,205,0.400579225,26.15919192,0
NAC017,116,267,317,0.398724321,31.50931677,0
BHLH49,85,106,429,0.398600048,23.10141616,0
MYB57,85,222,205,0.398442364,28.13185324,0
MYB3,150,256,554,0.398305583,24.28471535,0
ERF003,413,2245,479,0.398266816,28.25218658,0
ERF109,389,1068,895,0.397880319,26.49879475,0
ERF054,312,689,895,0.397313631,24.43845252,0
MYB3R4,89,242,208,0.396689455,28.7131909,0
MYB13,152,686,215,0.395787706,22.85721942,0
MYB33,76,199,187,0.393972811,23.99078349,0
ERF054,391,689,1432,0.39363675,25.13221239,0
ERF013,265,1260,360,0.393467939,25.49938533,0
ERF023,450,773,1697,0.392899834,26.4383653,0
ERF105,354,479,1697,0.392640039,23.19864938,0
ERF013,455,1260,1068,0.39222972,21.29475699,0
MYB13,135,686,173,0.391875993,31.34985838,0
ERF115,365,895,971,0.391536029,22.54768283,0
NAC017,121,267,358,0.391370625,29.11050519,0
ERF054,291,689,808,0.390011756,20.73654804,0
ERF013,380,1260,754,0.389863566,18.66595003,0
MYB17,156,551,291,0.389585069,24.05043401,0
MYB13,151,686,220,0.388690162,27.88597202,0
ERF091,381,2006,481,0.387870699,19.36508344,0
ERF013,390,1260,808,0.386521498,23.78082796,0
ERF105,387,479,2103,0.385588055,22.68390376,0
MYB58,185,793,291,0.385113409,28.88322793,0
MYB51,266,711,674,0.384252665,25.51954691,0
WRKY42,441,1190,1123,0.381483036,19.69725241,0
ERF003,502,2245,773,0.38107091,19.55151799,0
ERF023,135,773,163,0.380320924,21.18367077,0
ATMYB31,265,718,686,0.377590965,22.55725825,0
ERF122,316,481,1460,0.37708401,24.16443396,0
WRKY31,353,738,1190,0.376680418,19.03584631,0
WRKY21,370,1833,527,0.376456833,20.5298758,0
ERF11,340,1697,481,0.376327069,22.43562827,0
ERF10,356,1872,481,0.37516692,24.37047247,0
MYB15,130,220,551,0.373384437,23.68855384,0
ERF008,221,455,773,0.372646313,21.26785838,0
MYB15,77,220,195,0.371759503,27.38522198,0
NAC018,110,297,298,0.369748421,20.67321991,0
ERF023,389,773,1432,0.369733111,16.3575425,0
ERF109,132,1068,120,0.368720838,22.8595192,0
ERF023,467,773,2077,0.368560582,18.31247007,0
MYB4,144,215,711,0.368305718,24.91237689,0
MYB10,113,138,686,0.367262717,24.10342528,0
ERF013,348,1260,718,0.365874169,17.79822604,0
MYB17,234,551,757,0.362319842,23.03363541,0
WRKY21,305,1833,388,0.361661887,21.94450193,0
MYB41,108,389,230,0.361064705,22.65310426,0
ERF073,224,808,479,0.360059755,21.81910084,0
MYB1,93,276,242,0.359849352,24.37809293,0
MYB1,84,276,199,0.358424928,22.32652165,0
MYB15,85,220,256,0.358168677,27.15731899,0
ERF023,446,773,2006,0.358162116,17.10034104,0
MYB13,258,686,757,0.358021995,17.54373283,0
MYB41,188,389,711,0.357477118,19.05137773,0
ERF069,270,1189,481,0.357026374,16.6470296,0
ERF023,454,773,2103,0.356079088,17.02580676,0
ERF003,370,2245,481,0.356058217,20.38935354,0
WRKY30,237,605,738,0.354684719,22.62074918,0
MYB124,8,15,34,0.354245954,33.43343127,0
ERF122,356,481,2103,0.353962964,20.33607568,0
MYB3,151,256,711,0.353933902,22.47448621,0
ERF105,352,479,2077,0.352904063,20.26954924,0
ERF122,352,481,2077,0.352169611,19.89810881,0
MYB61,79,291,173,0.352093125,25.95766978,0
MYB61,159,291,704,0.351288797,25.4741349,0
MYB41,137,389,397,0.348618567,19.27268642,0
MYB10,60,138,215,0.348331281,26.49514563,0
WRKY23,59,141,204,0.347878326,23.23854718,0
WRKY24,79,388,133,0.347764629,19.65147946,0
ATMYB31,262,718,793,0.347218195,22.15612323,0
ERF008,279,455,1432,0.345642387,19.72541239,0
ERF013,322,1260,689,0.345589858,15.87958593,0
ERF038,310,481,1697,0.343121739,16.60582296,0
ERF008,160,455,481,0.342012317,23.37916925,0
ERF023,363,773,1460,0.341696437,17.36724407,0
MYB52,80,208,264,0.341394371,22.29936306,0
MYB101,70,225,187,0.341260465,19.04857339,0
ERF034,45,64,272,0.341065723,26.05353917,0
MYB1,92,276,264,0.340824905,22.44585471,0
ERF013,199,1260,272,0.339925192,21.21967652,0
NAC101,75,426,115,0.338850042,22.7031569,0
ERF105,227,479,940,0.338293905,18.14948337,0
MYB30,261,757,793,0.336865065,20.30960114,0
NAC013,235,932,523,0.336596086,21.3299579,0
ERF014,140,360,481,0.336437384,23.14797746,0
MYB15,133,220,711,0.336283455,17.76855789,0
WRKY24,152,388,527,0.33614172,19.47017893,0
NAC037,44,69,249,0.335682312,30.57085087,0
MYB10,111,138,793,0.335541964,23.72354896,0
ERF023,441,773,2240,0.335138895,16.15897497,0
ERF038,278,481,1432,0.334966017,19.27930728,0
ERF104,347,2240,481,0.334297345,20.8272473,0
ERF013,355,1260,895,0.334296295,17.00199286,0
ERF008,272,455,1460,0.333723491,17.04058541,0
ERF122,228,481,971,0.333620473,21.97020445,0
ERF008,326,455,2103,0.333266964,19.57476227,0
ERF122,224,481,940,0.333128319,22.34541075,0
ERF012,203,295,1260,0.332965899,21.71034555,0
ERF014,175,360,773,0.331739397,22.25734537,0
ERF027,42,110,146,0.331418326,26.55663004,0
ERF023,398,773,1872,0.330857057,15.47478161,0
MYB17,102,551,173,0.330370546,20.81862708,0
MYB105,81,303,199,0.329865705,22.38818821,0
ERF011,71,241,193,0.329208601,21.70485688,0
WRKY30,71,605,77,0.328954096,20.51601067,0
WRKY23,45,141,133,0.328607247,24.06953263,0
WRKY60,55,171,164,0.328429917,26.27035624,0
