geneId,Sample,Binding
Glyma.02G052300,WRKY_M1,no
Glyma.02G053600,WRKY_M1,no
Glyma.02G054900,WRKY_M1,no
Glyma.02G055000,WRKY_M1,no
Glyma.02G055500,WRKY_M1,no
Glyma.02G056700,WRKY_M1,no
Glyma.02G057400,WRKY_M1,no
Glyma.02G057900,WRKY_M1,no
Glyma.02G058000,WRKY_M1,no
Glyma.02G058200,WRKY_M1,no
Glyma.02G059500,WRKY_M1,no
Glyma.02G060102,WRKY_M1,no
Glyma.02G061100,WRKY_M1,no
Glyma.02G063900,WRKY_M1,no
Glyma.02G064800,WRKY_M1,no
Glyma.02G066200,WRKY_M1,no
Glyma.02G067100,WRKY_M1,no
Glyma.02G069400,WRKY_M1,no
Glyma.02G070000,WRKY_M1,no
Glyma.02G070600,WRKY_M1,no
Glyma.02G071500,WRKY_M1,no
Glyma.02G072000,WRKY_M1,no
Glyma.02G072200,WRKY_M1,no
Glyma.02G072500,WRKY_M1,no
Glyma.02G075100,WRKY_M1,no
Glyma.02G080000,WRKY_M1,no
Glyma.02G080200,WRKY_M1,no
Glyma.02G081200,WRKY_M1,no
Glyma.02G081400,WRKY_M1,no
Glyma.02G083600,WRKY_M1,no
Glyma.02G083702,WRKY_M1,no
Glyma.02G087000,WRKY_M1,no
Glyma.02G087800,WRKY_M1,no
Glyma.02G088700,WRKY_M1,yes
Glyma.02G089400,WRKY_M1,no
Glyma.02G089500,WRKY_M1,no
Glyma.02G091500,WRKY_M1,no
Glyma.02G092500,WRKY_M1,no
Glyma.02G093100,WRKY_M1,no
Glyma.02G094500,WRKY_M1,no
Glyma.02G095200,WRKY_M1,no
Glyma.02G095500,WRKY_M1,no
Glyma.02G096800,WRKY_M1,no
Glyma.02G097000,WRKY_M1,no
Glyma.02G097700,WRKY_M1,no
Glyma.02G099500,WRKY_M1,no
Glyma.02G100000,WRKY_M1,no
Glyma.02G100300,WRKY_M1,no
Glyma.02G102900,WRKY_M1,no
Glyma.02G103700,WRKY_M1,no
Glyma.02G104300,WRKY_M1,no
Glyma.02G104500,WRKY_M1,no
Glyma.02G105300,WRKY_M1,no
Glyma.02G106100,WRKY_M1,no
Glyma.02G106300,WRKY_M1,no
Glyma.02G107500,WRKY_M1,no
Glyma.02G107700,WRKY_M1,no
