geneId,FC,FC_Type,cluster
Glyma.02G011800,-0.679206101,R1_FC,cluster3
Glyma.02G011900,2.443708549,R1_FC,cluster7
Glyma.02G012400,0.206167733,R1_FC,cluster9
Glyma.02G012700,0.668601599,R1_FC,cluster9
Glyma.02G013200,-0.147074974,R1_FC,cluster6
Glyma.02G013402,-1.611054398,R1_FC,cluster6
Glyma.02G013700,-0.496490719,R1_FC,cluster3
Glyma.02G014000,0.127959197,R1_FC,cluster9
Glyma.02G014800,-0.642652867,R1_FC,cluster3
Glyma.02G015900,0.229811871,R1_FC,cluster9
Glyma.02G016100,3.301966524,R1_FC,cluster4
Glyma.02G016400,-0.794410299,R1_FC,cluster3
Glyma.02G017100,1.875939242,R1_FC,cluster9
Glyma.02G017500,0.394763771,R1_FC,cluster9
Glyma.02G019200,-0.723308698,R1_FC,cluster3
Glyma.02G019400,0.414108565,R1_FC,cluster9
Glyma.02G019600,-1.180498986,R1_FC,cluster3
Glyma.02G021600,-0.800976122,R1_FC,cluster3
Glyma.02G022200,3.404979339,R1_FC,cluster8
Glyma.02G022400,-0.172496862,R1_FC,cluster3
Glyma.02G023800,2.418969047,R1_FC,cluster1
Glyma.02G023900,3.921235692,R1_FC,cluster8
Glyma.02G024200,4.182137048,R1_FC,cluster7
Glyma.02G024500,0.491085383,R1_FC,cluster9
Glyma.02G024600,4.736945766,R1_FC,cluster2
Glyma.02G024800,5.515597132,R1_FC,cluster2
Glyma.02G026300,-0.506309692,R1_FC,cluster3
Glyma.02G026500,0.431070904,R1_FC,cluster9
Glyma.02G027800,4.342539545,R1_FC,cluster5
Glyma.02G028400,2.924866463,R1_FC,cluster1
Glyma.02G028600,3.788845998,R1_FC,cluster1
Glyma.02G028700,1.820759945,R1_FC,cluster4
Glyma.02G028800,2.721266842,R1_FC,cluster1
Glyma.02G029400,2.881270491,R1_FC,cluster7
Glyma.02G031100,-1.703897583,R1_FC,cluster6
Glyma.02G032200,-1.076669572,R1_FC,cluster3
Glyma.02G034000,1.263381647,R1_FC,cluster4
Glyma.02G035000,0.259633435,R1_FC,cluster9
Glyma.02G035200,1.274431944,R1_FC,cluster4
Glyma.02G036000,0.351819533,R1_FC,cluster9
Glyma.02G036100,0.357279875,R1_FC,cluster9
Glyma.02G036500,-0.417984643,R1_FC,cluster3
Glyma.02G038100,-0.876589857,R1_FC,cluster3
Glyma.02G039400,-0.723159734,R1_FC,cluster3
Glyma.02G041900,0.572570571,R1_FC,cluster9
Glyma.02G042500,3.767768317,R1_FC,cluster7
Glyma.02G044500,-1.3881816,R1_FC,cluster3
Glyma.02G047000,-1.232838083,R1_FC,cluster3
Glyma.02G047600,-1.323096505,R1_FC,cluster6
Glyma.02G048400,-1.339416381,R1_FC,cluster6
Glyma.02G048800,-0.431804966,R1_FC,cluster3
Glyma.02G049600,0.716692513,R1_FC,cluster9
Glyma.02G049700,1.068298929,R1_FC,cluster9
Glyma.02G049800,0.976091027,R1_FC,cluster9
Glyma.02G052300,4.573987687,R1_FC,cluster8
Glyma.02G053600,1.698402846,R1_FC,cluster7
Glyma.02G054900,3.169551796,R1_FC,cluster8
Glyma.02G055000,4.028909474,R1_FC,cluster7
Glyma.02G055500,0.964825869,R1_FC,cluster9
Glyma.02G056700,-1.122861252,R1_FC,cluster6
Glyma.02G057400,-0.89045465,R1_FC,cluster3
Glyma.02G057900,0.534487517,R1_FC,cluster9
Glyma.02G058000,-0.328917947,R1_FC,cluster9
Glyma.02G058200,0.662330982,R1_FC,cluster9
Glyma.02G059500,4.07555116,R1_FC,cluster5
Glyma.02G060102,-0.616131021,R1_FC,cluster3
Glyma.02G061100,-0.397934911,R1_FC,cluster3
Glyma.02G063900,2.435242756,R1_FC,cluster4
Glyma.02G064800,-0.555910758,R1_FC,cluster3
Glyma.02G066200,1.252736948,R1_FC,cluster9
Glyma.02G067100,-0.262471011,R1_FC,cluster3
Glyma.02G069400,-0.609630964,R1_FC,cluster3
Glyma.02G070000,2.386332453,R1_FC,cluster8
Glyma.02G070600,0.844708777,R1_FC,cluster9
Glyma.02G071500,-0.369443588,R1_FC,cluster3
Glyma.02G072000,1.428443392,R1_FC,cluster9
Glyma.02G072200,1.234301279,R1_FC,cluster7
Glyma.02G072500,-0.329326218,R1_FC,cluster3
Glyma.02G075100,0.613121979,R1_FC,cluster9
Glyma.02G080000,-0.943950279,R1_FC,cluster3
Glyma.02G080200,4.768570949,R1_FC,cluster2
Glyma.02G081200,-0.514863992,R1_FC,cluster3
Glyma.02G081400,-0.52772656,R1_FC,cluster3
Glyma.02G083600,5.351109072,R1_FC,cluster2
Glyma.02G083702,4.35684786,R1_FC,cluster8
Glyma.02G087000,-0.239672692,R1_FC,cluster3
Glyma.02G087800,-0.968583848,R1_FC,cluster3
Glyma.02G088700,4.277128223,R1_FC,cluster8
Glyma.02G089400,5.749767472,R1_FC,cluster2
Glyma.02G089500,3.268889279,R1_FC,cluster1
Glyma.02G091500,0.645168631,R1_FC,cluster9
Glyma.02G092500,4.008409071,R1_FC,cluster7
Glyma.02G093100,-0.976831701,R1_FC,cluster6
Glyma.02G094500,3.016280119,R1_FC,cluster8
Glyma.02G095200,0.482805956,R1_FC,cluster9
Glyma.02G095500,1.065569723,R1_FC,cluster9
Glyma.02G096800,0.628317747,R1_FC,cluster9
Glyma.02G097000,-0.13635316,R1_FC,cluster3
Glyma.02G097700,-0.675278932,R1_FC,cluster3
Glyma.02G099500,1.33947666,R1_FC,cluster4
Glyma.02G100000,-1.17079838,R1_FC,cluster3
Glyma.02G100300,4.287431375,R1_FC,cluster8
Glyma.02G102900,0.69341227,R1_FC,cluster9
