geneId,Family,cluster
Glyma.08G199100,NA,cluster1
Glyma.08G235900,NA,cluster1
Glyma.08G246700,NA,cluster1
Glyma.08G250300,NA,cluster1
Glyma.08G257300,ERF,cluster1
Glyma.08G260400,NA,cluster1
Glyma.08G270600,NA,cluster1
Glyma.08G305000,NA,cluster1
Glyma.08G307600,NA,cluster1
Glyma.08G324300,NA,cluster1
Glyma.08G338200,NA,cluster1
Glyma.08G342100,NA,cluster1
Glyma.08G362466,NA,cluster1
Glyma.08G362532,NA,cluster1
Glyma.09G003100,NA,cluster1
Glyma.09G022500,NA,cluster1
Glyma.09G052900,ERF,cluster1
Glyma.09G075200,NA,cluster1
Glyma.09G128400,NA,cluster1
Glyma.09G205700,NA,cluster1
Glyma.09G211700,NA,cluster1
Glyma.09G240100,NA,cluster1
Glyma.09G280200,WRKY,cluster1
Glyma.10G002200,NA,cluster1
Glyma.10G032700,NA,cluster1
Glyma.10G207000,NA,cluster1
Glyma.11G010500,NA,cluster1
Glyma.11G011500,NA,cluster1
Glyma.11G025600,NA,cluster1
Glyma.11G129900,NA,cluster1
Glyma.11G142600,NA,cluster1
Glyma.11G152400,NA,cluster1
Glyma.11G163300,WRKY,cluster1
Glyma.11G185700,NA,cluster1
Glyma.11G203000,NA,cluster1
Glyma.11G214500,NA,cluster1
Glyma.11G230600,NA,cluster1
Glyma.11G236600,NA,cluster1
Glyma.11G243900,NA,cluster1
Glyma.12G054200,NA,cluster1
Glyma.12G057201,NA,cluster1
Glyma.12G059300,NA,cluster1
Glyma.12G130200,NA,cluster1
Glyma.12G187000,NA,cluster1
Glyma.12G200400,NA,cluster1
Glyma.12G200800,NA,cluster1
Glyma.12G218200,MYB,cluster1
Glyma.12G234600,NA,cluster1
Glyma.13G045700,NA,cluster1
Glyma.13G046300,LBD,cluster1
Glyma.13G064200,NA,cluster1
Glyma.13G079300,NA,cluster1
Glyma.13G085800,NA,cluster1
Glyma.13G087400,NA,cluster1
Glyma.13G123100,ERF,cluster1
Glyma.13G157400,NA,cluster1
Glyma.13G186200,NA,cluster1
Glyma.13G186600,NA,cluster1
Glyma.14G030000,NA,cluster1
Glyma.14G071600,NA,cluster1
Glyma.14G222400,NA,cluster1
Glyma.15G012000,NA,cluster1
Glyma.15G054500,NA,cluster1
Glyma.15G062400,NA,cluster1
Glyma.15G104700,NA,cluster1
Glyma.15G129200,NA,cluster1
Glyma.15G131300,NA,cluster1
Glyma.15G142400,NA,cluster1
Glyma.15G145900,NA,cluster1
Glyma.15G158200,NA,cluster1
Glyma.15G203500,NA,cluster1
Glyma.15G206800,NA,cluster1
Glyma.15G222300,NA,cluster1
Glyma.15G249800,NA,cluster1
Glyma.15G256000,NA,cluster1
Glyma.16G014700,NA,cluster1
Glyma.16G017500,NA,cluster1
Glyma.16G023000,MYB,cluster1
Glyma.16G037600,NA,cluster1
Glyma.16G042900,NAC,cluster1
Glyma.16G069300,NAC,cluster1
Glyma.16G145200,NA,cluster1
Glyma.16G148600,NA,cluster1
Glyma.16G152600,NA,cluster1
Glyma.16G159500,NA,cluster1
Glyma.16G164400,NA,cluster1
Glyma.16G214100,NA,cluster1
Glyma.17G005000,NA,cluster1
Glyma.17G103400,NA,cluster1
Glyma.17G117200,NA,cluster1
